                            95%-CI
YE_Colinet 0.4219 [0.3902; 0.4536]
Line = RE4   0.0018 0.0419 16.12
Line = RE5  <0.0001 0.0002  2.15
Line = RE6   0.0019 0.0435 16.49
Line = RE7   0.0014 0.0377 14.29
Line = RE8   0.0002 0.0125  3.32
Line = GI1   0.0008 0.0290  8.33
Line = GI10       0      0  0.01
Line = GI11       0      0  1.41
Line = GI12  0.0012 0.0352 11.44
Line = GI13  0.0068 0.0822 51.84
Line = GI14  0.0006 0.0244  6.66
Line = GI15  0.0003 0.0187  4.86
Line = GI2        0      0  1.24
Line = GI3  <0.0001 0.0093  2.73
Line = GI4   0.0001 0.0111  3.03
Line = GI5   0.0010 0.0313  9.92
Line = GI6   0.0013 0.0364 11.84
Line = GI7   0.0011 0.0332 10.24
Line = GI8        0      0  0.53
Line = GI9   0.0011 0.0325 10.90
Line = MU1   0.0002 0.0145  3.89
Line = MU10 <0.0001 0.0072  2.57
Line = MU11  0.0031 0.0560 27.61
Line = MU12  0.0019 0.0433 18.47
Line = MU13  0.0007 0.0261  7.42
Line = MU14 <0.0001 0.0075  2.36
Line = MU15  0.0004 0.0194  5.12
Line = MU16  0.0008 0.0282  8.82
Line = MU17 <0.0001 0.0096  2.83
Line = MU18  0.0005 0.0229  6.41
Line = MU19  0.0001 0.0112  3.19
Line = MU2        0      0  1.80
Line = MU20  0.0006 0.0240  7.00
Line = MU3   0.0006 0.0239  7.60
Line = MU4        0      0  1.16
Line = MU5        0      0  1.85
Line = MU6   0.0007 0.0267  8.14
Line = MU7   0.0003 0.0166  4.42
Line = MU8        0      0  0.97
Line = MU9  <0.0001 0.0075  2.60
Line = MA12  0.0010 0.0311 11.14
Line = MA13  0.0003 0.0181  4.82
Line = MA16  0.0002 0.0136  3.62
Line = MA18  0.0003 0.0166  4.40
Line = MA19  0.0012 0.0349 13.07
Line = MA20  0.0018 0.0426 16.80
Line = MA21  0.0006 0.0240  6.95
Line = MA23  0.0021 0.0461 19.65
Line = MA26  0.0005 0.0231  3.57
Line = MA27 <0.0001 0.0047  2.03
Line = MA28  0.0010 0.0319 10.98
Line = MA3   0.0007 0.0273  8.15
Line = MA30  0.0017 0.0416 17.13
Line = MA31  0.0006 0.0249  6.91
Line = MA32  0.0013 0.0364 14.27
Line = MA33  0.0007 0.0266  8.42
Line = MA5   0.0025 0.0503 25.15
Line = MA6   0.0020 0.0449 18.70
Line = MA7   0.0013 0.0365 14.43
Line = MA9   0.0006 0.0239  3.76
Line = UM13  0.0015 0.0391 13.79
Line = UM17       0      0  0.13
Line = UM18  0.0013 0.0366 13.29
Line = UM2   0.0034 0.0584 33.18
Line = UM20  0.0006 0.0251  7.08
Line = UM21  0.0045 0.0668 39.92
Line = UM22       0      0  0.19
Line = UM23       0      0  0.48
Line = UM25  0.0026 0.0511 23.02
Line = UM26  0.0021 0.0457 19.34
Line = UM28  0.0017 0.0410 14.99
Line = UM29       0      0  1.71
Line = UM4  <0.0001 0.0074  2.38
Line = UM5   0.0006 0.0254  7.15
Line = UM6        0      0  0.01
Line = UM7   0.0031 0.0556 25.76
Line = UM8   0.0010 0.0313  5.07
Line = UM9   0.0001 0.0117  3.23
Line = KA1  <0.0001 0.0081  2.47
Line = KA10  0.0015 0.0386 13.98
Line = KA11  0.0016 0.0395 14.83
Line = KA13       0      0  1.30
Line = KA14  0.0006 0.0244  7.05
Line = KA15       0      0  1.53
Line = KA16  0.0005 0.0224  6.53
Line = KA17  0.0021 0.0464 19.84
Line = KA18  0.0007 0.0261  8.13
Line = KA2        0      0  1.53
Line = KA23 <0.0001 0.0050  2.32
Line = KA24  0.0008 0.0288  9.25
Line = KA25  0.0003 0.0170  4.60
Line = KA28 <0.0001 0.0063  2.47
Line = KA29       0      0  1.53
Line = KA3   0.0019 0.0441 17.67
Line = KA5   0.0005 0.0228  6.31
Line = KA6   0.0010 0.0323 11.44
Line = KA7        0      0  0.94
Line = KA9   0.0016 0.0395 14.55
Line = VA1  <0.0001 0.0048  2.39
Line = VA11  0.0002 0.0153  4.08
Line = VA15  0.0007 0.0256  7.67
Line = VA18 <0.0001 0.0056  2.15
Line = VA22  0.0002 0.0145  3.85
Line = VA26 <0.0001 0.0061  2.21
Line = VA30  0.0002 0.0150  3.99
Line = VA34  0.0003 0.0169  4.57
Line = VA35 <0.0001 0.0089  2.58
Line = VA44  0.0004 0.0212  6.11
Line = VA46  0.0008 0.0289  9.13
Line = VA47       0      0  1.37
Line = VA48       0      0  1.14
Line = VA55  0.0002 0.0148  3.93
Line = VA57  0.0010 0.0311 10.57
Line = VA6   0.0011 0.0324 11.53
Line = VA66       0      0  1.58
Line = VA67       0      0  1.31
Line = VA71  0.0005 0.0227  6.31
Line = VA9   0.0003 0.0181  5.10
Line = AK1   0.0011 0.0334 11.41
Line = AK10       0      0  1.37
Line = AK11  0.0009 0.0293  9.29
Line = AK12  0.0010 0.0322 10.99
Line = AK13  0.0001 0.0118  3.25
Line = AK14       0      0  0.11
Line = AK15  0.0001 0.0117  3.29
Line = AK16       0      0  0.63
Line = AK17       0      0  1.94
Line = AK18  0.0008 0.0288  8.96
Line = AK2   0.0008 0.0278  8.48
Line = AK20       0      0  0.72
Line = AK21  0.0008 0.0275  9.06
Line = AK3   0.0030 0.0545 26.61
Line = AK4   0.0017 0.0407 16.19
Line = AK5   0.0005 0.0226  6.39
Line = AK6   0.0008 0.0289  9.15
Line = AK7   0.0004 0.0193  5.23
Line = AK8   0.0011 0.0326 10.79
Line = AK9   0.0010 0.0323 10.72
              I^2
Line = YE11  0.0%
Line = YE13 67.9%
Line = YE14 29.5%
Line = YE15 80.1%
Line = YE19 62.3%
Line = YE20 84.9%
Line = YE21 88.9%
Line = YE22 86.6%
Line = YE23 94.4%
Line = YE24 87.2%
Line = YE26 78.4%
Line = YE27  9.2%
Line = YE33 88.3%
Line = YE40 72.7%
Line = YE41 45.1%
Line = YE48  0.0%
Line = YE49 81.4%
Line = YE51  0.0%
Line = YE69 80.9%
Line = YE80 72.8%
Line = RE1     --
Line = RE10 81.1%
Line = RE11 59.6%
Line = RE12 87.4%
Line = RE13 68.7%
Line = RE15  0.0%
Line = RE16 36.6%
Line = RE17 80.7%
Line = RE18 89.6%
Line = RE2  84.6%
Line = RE3   0.0%
Line = RE4  87.6%
Line = RE5   6.8%
Line = RE6  87.9%
Line = RE7  86.0%
Line = RE8  39.8%
Line = GI1  76.0%
Line = GI10  0.0%
Line = GI11  0.0%
Line = GI12 82.5%
Line = GI13 96.1%
Line = GI14 70.0%
Line = GI15 58.9%
Line = GI2   0.0%
Line = GI3  26.6%
Line = GI4  34.0%
Line = GI5  79.8%
Line = GI6  83.1%
Line = GI7  80.5%
Line = GI8   0.0%
Line = GI9  81.7%
Line = MU1  48.6%
Line = MU10 22.2%
Line = MU11 92.8%
Line = MU12 89.2%
Line = MU13 73.1%
Line = MU14 15.4%
Line = MU15 60.9%
Line = MU16 77.3%
Line = MU17 29.4%
Line = MU18 68.8%
Line = MU19 37.4%
Line = MU2   0.0%
Line = MU20 71.4%
Line = MU3  73.7%
Line = MU4   0.0%
Line = MU5   0.0%
Line = MU6  75.4%
Line = MU7  54.7%
Line = MU8   0.0%
Line = MU9  23.1%
Line = MA12 82.0%
Line = MA13 58.5%
Line = MA16 44.8%
Line = MA18 54.5%
Line = MA19 84.7%
Line = MA20 88.1%
Line = MA21 71.2%
Line = MA23 89.8%
Line = MA26 72.0%
Line = MA27  1.5%
Line = MA28 81.8%
Line = MA3  75.5%
Line = MA30 88.3%
Line = MA31 71.1%
Line = MA32 86.0%
Line = MA33 76.2%
Line = MA5  92.0%
Line = MA6  89.3%
Line = MA7  86.1%
Line = MA9  73.4%
Line = UM13 85.5%
Line = UM17  0.0%
Line = UM18 84.9%
Line = UM2  94.0%
Line = UM20 71.8%
Line = UM21 95.0%
Line = UM22  0.0%
Line = UM23  0.0%
Line = UM25 91.3%
Line = UM26 89.7%
Line = UM28 86.7%
Line = UM29  0.0%
Line = UM4  16.1%
Line = UM5  72.0%
Line = UM6   0.0%
Line = UM7  92.2%
Line = UM8  80.3%
Line = UM9  38.1%
Line = KA1  19.0%
Line = KA10 85.7%
Line = KA11 86.5%
Line = KA13  0.0%
Line = KA14 71.6%
Line = KA15  0.0%
Line = KA16 69.4%
Line = KA17 89.9%
Line = KA18 75.4%
Line = KA2   0.0%
Line = KA23 13.6%
Line = KA24 78.4%
Line = KA25 56.5%
Line = KA28 18.9%
Line = KA29  0.0%
Line = KA3  88.7%
Line = KA5  68.3%
Line = KA6  82.5%
Line = KA7   0.0%
Line = KA9  86.3%
Line = VA1  16.4%
Line = VA11 51.0%
Line = VA15 73.9%
Line = VA18  6.9%
Line = VA22 48.1%
Line = VA26  9.4%
Line = VA30 49.9%
Line = VA34 56.2%
Line = VA35 22.6%
Line = VA44 67.3%
Line = VA46 78.1%
Line = VA47  0.0%
Line = VA48  0.0%
Line = VA55 49.2%
Line = VA57 81.1%
Line = VA6  82.7%
Line = VA66  0.0%
Line = VA67  0.0%
Line = VA71 68.3%
Line = VA9  60.8%
Line = AK1  82.5%
Line = AK10  0.0%
Line = AK11 78.5%
Line = AK12 81.8%
Line = AK13 38.5%
Line = AK14  0.0%
Line = AK15 39.2%
Line = AK16  0.0%
Line = AK17  0.0%
Line = AK18 77.7%
Line = AK2  76.4%
Line = AK20  0.0%
Line = AK21 77.9%
Line = AK3  92.5%
Line = AK4  87.6%
Line = AK5  68.7%
Line = AK6  78.1%
Line = AK7  61.8%
Line = AK8  81.5%
Line = AK9  81.3%

Test for subgroup differences (random effects model):
                      Q d.f.
Between groups   971.02  168
                  p-value
Between groups   < 0.0001

Details on meta-analytical method:
- Inverse variance method
- Restricted maximum-likelihood estimator for tau^2
- Q-profile method for confidence interval of tau^2 and tau
